Id,Gender,PermanentRecidence_cat,Recidence,CivilStatus_cat,HighestEducationQualification_cat,InterviewedBy,ExtraCurricularActivities,ApparelRelatedVocationalQualification,PreviousJob,ExperiencedSection_cat,RelativesInApparel,SpouseOccupation_cat,FamilyOppinionAboutTheJob,Referel_cat,ExpectationOfDoingTheJob_cat,AvailabilityOfTransportNearTheResidence,RetentionCategory,SelectedDepartment,ReasonForChooseApparel,PreviousWorkPlace,PersonalImpression,ContributionToTheFamilyIncome_cat,Children_cat,ApparelExperience,ReasonForLeaving_cat,Height,Weight,2nd_Month_Gross_Salary,Salary_Category,Salary_Category_2,Salary_Category_3,2nd_Month_Basic_Pay,2nd_Month_OT,2nd Month No Pay Days,2nd Month Incentive,MedicalTest,IQTestScore,ExpectedSalary,FollowingExternalCourses,LastBasicSal_cat,Age_cat,Age(Median),Age_Joined,Is Terminated
271,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,Other,DifferentCompany,Average,High,NoChildren,TRUE,NoJob,160,51,24681.73,24000-25000,6,6,18000,6412.5,1,2224,Passed,80,30000,No,,20to25,22,23,No
272,Female,No,Boarded,Unmarried,PassedAL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,152,40,28377.12,>27000,9,10,18000,7742.5,0.5,1617,Passed,85,28000,No,NoJob,20to25,22,23,No
273,Female,No,ComingFromRelativesPlace,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,DifferentCompany,Good,High,NoChildren,FALSE,JobIssue,158,62,30337.5,>27000,9,10,18000,7837.5,0,4935,Passed,70,,No,,20to25,22,20,No
274,Female,No,ComingFromRelativesPlace,Unmarried,PassedOL,Gihan,FALSE,FALSE,Apparel,Support,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,Other,DifferentCompany,Good,Moderate,Unmarried,FALSE,Other,152,58,28036.73,>27000,9,10,18000,7267.5,1,4791,Passed,70,,No,,20to25,22,24,No
275,Female,Yes,ComingFromHome,Unmarried,PassedOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Good,Low,Unmarried,FALSE,NoJob,179,69,30352.5,>27000,9,10,18000,7552.5,0,1587,Passed,65,28000,No,NoJob,20to25,22,23,No
276,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,DifferentCompany,Good,Moderate,ChildrenGreaterThan5Yrs,FALSE,PersonalIssue,152,58,28200,>27000,9,10,18000,5700,0,2224,Passed,70,,No,,above35,38,36,No
277,Female,Yes,ComingFromHome,Married,UptoOL,Dinuka,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,SamePlant,Average,High,ChildrenGreaterThan5Yrs,TRUE,Other,164,56,30052.5,>27000,9,10,18000,7552.5,0,5280,Passed,0,16000,No,15000to30000,30to35,32,31,No
278,Female,Yes,ComingFromHome,Married,UptoOL,Pasinduni,FALSE,FALSE,NoJob,NoExperience,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,NoChildren,FALSE,NoJob,160,52,29482.5,>27000,9,10,18000,6982.5,0,141,Passed,80,25000,No,NoJob,20to25,22,21,No
279,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,TRUE,FALSE,Apparel,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,No,C,TMMO,CloseProximityToHome,DifferentCompany,Good,Moderate,Unmarried,TRUE,Other,157,,30517.5,>27000,9,10,18000,7267.5,0,89,Passed,80,,No,,less20,19,19,No
280,Female,Yes,ComingFromHome,Married,PassedAL,Lahiru,TRUE,TRUE,Apparel,NoExperience,TRUE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Good,Moderate,NoChildren,TRUE,Other,159,,34011.62,>27000,9,10,21833,8678.62,0,3238,Passed,86,,No,,25to30,27,26,No
